  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS	    sampling seconds
839	        380.815	          0.00110181	       21.71	          295.923	             591.224	             295.256	             589.831	             295.203	             589.903	             591.215	             2.84428	            -5.62585	                0.39
840	        380.942	          0.00221239	       10.55	          295.934	             591.247	             295.265	             589.851	             295.216	             589.925	             591.238	             2.72986	            -5.79322	                0.39
841	        381.038	           0.0012507	       20.97	          295.934	             591.245	             295.275	             589.871	             295.205	               589.9	             591.238	             2.61522	              -5.975	                0.54
842	        381.202	          0.00154107	       15.63	          296.015	             591.417	             295.285	             589.891	             295.357	             590.216	             591.406	             3.08018	            -5.50377	                0.46
843	        381.382	          0.00229621	       10.57	          296.039	             591.467	             295.295	             589.913	             295.394	             590.289	             591.457	             2.96483	            -5.52966	                0.39
844	        381.529	          0.00156372	       14.24	          296.616	             592.794	             295.307	             589.936	             296.301	              592.32	             592.645	             5.08276	              -2.853	                0.31
845	        381.741	          0.00177873	       12.54	          296.567	              592.68	             295.318	             589.959	             296.229	             592.162	             592.545	             4.96639	            -2.96158	                0.38
846	        381.941	          0.00189771	       11.73	          296.546	             592.618	             295.331	             589.986	             296.194	             592.067	             592.503	             4.84872	            -3.12148	                0.34
847	        382.186	           0.0011489	       20.59	          296.513	             592.536	             295.345	             590.016	              296.14	             591.941	             592.436	             4.72949	            -3.25985	                0.45
848	        382.367	          0.00116952	          19	          296.591	             592.685	             295.361	             590.048	             296.245	             592.123	             592.597	             4.60902	            -3.39337	                0.35
849	        382.525	          0.00129074	       17.42	          297.104	             593.888	             295.377	             590.082	             296.908	             593.621	             593.646	              6.0493	            -2.33012	                 0.3
850	        382.716	         0.000775014	       29.88	          297.364	             594.396	             295.395	             590.118	             297.214	             594.184	             594.175	             5.92702	            -2.42321	                0.38
851	        382.999	           0.0257732	        1.23	           297.65	             594.919	             295.414	             590.158	             297.537	             594.749	             594.756	             5.81328	            -2.73584	                0.28
852	         383.14	          0.00507614	        4.56	          297.585	             594.776	             295.435	             590.201	             297.461	             594.587	             594.625	             5.68764	            -2.81278	                0.32
853	        383.299	         0.000653104	       38.93	          297.583	             594.753	             295.456	             590.245	             297.456	             594.554	             594.622	             5.56164	            -2.96601	                0.45
854	        383.493	            0.017452	        1.65	          297.598	             594.762	             295.479	             590.293	              297.47	             594.557	             594.654	             5.43389	            -3.16039	                0.29
855	        383.701	          0.00232964	        9.95	          297.552	             594.658	             295.503	             590.344	             297.414	             594.433	             594.561	             5.30455	            -3.27549	                0.33
856	         383.88	         0.000394438	       74.68	          297.543	             594.625	             295.529	             590.398	               297.4	             594.387	             594.544	             5.17372	            -3.45491	                 0.5
857	        384.063	           0.0130463	        1.96	          297.519	             594.566	             295.557	             590.456	             297.367	             594.311	             594.496	              5.0409	            -3.60807	                0.29
858	        384.313	         0.000460745	        67.4	          297.515	             594.549	             295.587	             590.518	             297.358	             594.281	              594.49	             4.90637	            -3.78367	                0.66
859	        384.512	           0.0190476	        1.45	          297.496	             594.502	              295.62	             590.586	              297.33	             594.216	             594.452	             4.76902	            -3.93388	                0.29
860	        384.652	         0.000737953	       32.39	           297.64	             594.794	             295.653	             590.656	             297.492	              594.54	             594.744	             5.05427	             -3.9375	                0.34
861	        384.797	           0.0172712	        1.66	           297.57	              594.65	             295.687	             590.726	             297.405	             594.364	             594.603	             4.91594	            -4.00979	                0.31
862	        384.999	         0.000900495	       27.23	          297.604	             594.716	             295.721	             590.797	             297.439	             594.429	             594.673	             4.77711	            -4.09306	                0.37
863	        385.182	           0.0241838	         1.2	          297.669	              594.85	             295.757	             590.873	             297.509	             594.571	             594.805	             4.81547	            -4.06425	                0.29
864	        385.381	         0.000837591	       34.91	          297.645	             594.797	             295.796	             590.954	             297.474	             594.497	             594.758	             4.67212	            -4.18905	                0.65
865	        385.569	           0.0174978	        1.38	          297.644	             594.792	             295.837	             591.038	             297.465	             594.474	             594.758	             4.52678	            -4.33974	                0.29
866	         385.78	         0.000653659	       39.93	          297.662	             594.823	             295.879	             591.127	             297.478	             594.494	             594.795	             4.37943	            -4.52857	                0.44
867	        385.938	           0.0207039	        1.14	          297.634	             594.763	             295.923	             591.219	             297.435	             594.405	             594.739	              4.2306	            -4.67668	                 0.3
868	        386.161	          0.00107538	       22.98	          297.849	             595.227	             295.969	             591.314	             297.684	             594.938	             595.175	             5.27027	            -3.90762	                0.36
869	        386.271	          0.00160901	       14.84	          298.062	             595.661	             296.015	             591.411	             297.923	              595.42	             595.606	             5.11884	            -3.84459	                 0.3
870	        386.474	         0.000300251	      101.61	          298.065	             595.658	             296.062	             591.509	              297.92	             595.403	             595.613	             4.96699	            -4.03404	                0.53
871	         386.66	           0.0136799	        2.03	          298.006	             595.536	             296.111	             591.611	             297.843	             595.247	             595.494	             4.81321	            -4.12647	                0.28
872	        386.823	          0.00161251	       14.57	          297.983	             595.485	             296.161	             591.714	             297.807	              595.17	              595.45	             4.65871	            -4.28384	                0.29
873	        387.039	          0.00118497	       20.77	          297.982	             595.478	             296.212	             591.821	             297.795	             595.141	             595.448	             4.50251	            -4.46658	                0.33
874	        387.192	         0.000820681	       30.37	            298.2	             595.923	             296.265	              591.93	             298.044	             595.642	             595.889	             4.63663	            -4.33654	                0.43
875	        387.322	           0.0217155	        1.32	          298.443	             596.432	             296.318	              592.04	             298.316	             596.207	             596.381	             5.38936	            -3.92009	                0.28
876	        387.549	          0.00103713	        24.3	          298.467	             596.472	             296.371	              592.15	             298.336	             596.237	              596.43	             5.23135	            -4.11776	                0.37
877	        387.712	          0.00102359	       24.54	          298.453	             596.439	             296.426	             592.265	             298.312	             596.184	             596.403	             5.07149	            -4.28128	                 0.4
878	        387.861	          0.00042725	       57.65	           298.49	             596.515	             296.481	             592.379	             298.346	             596.256	             596.479	             4.91154	            -4.24367	                0.46
879	        388.025	           0.0294551	        1.19	          298.502	             596.533	             296.536	             592.492	             298.351	             596.259	             596.503	             4.75195	            -4.44462	                0.28
880	        388.175	          0.00277239	        8.74	          298.927	             597.573	             296.592	             592.608	             298.825	             597.421	             597.361	             6.64992	            -2.43801	                0.33
881	         388.35	          0.00282805	        8.48	          299.139	             597.956	             296.647	             592.722	             299.053	              597.82	             597.788	             6.48965	            -2.68299	                0.33
882	        388.594	          0.00137969	        16.9	          299.268	             598.201	             296.705	             592.842	             299.187	             598.073	             598.048	             6.32674	            -2.77233	                0.34
883	         388.75	         0.000887272	       28.96	          299.464	             598.596	             296.765	             592.965	             299.394	             598.485	             598.442	             6.48199	            -2.76813	                0.49
884	        388.891	           0.0271739	        1.06	          299.507	             598.659	             296.825	             593.089	             299.436	             598.542	              598.53	             6.31709	            -2.95071	                 0.3
885	        389.132	          0.00305717	        7.98	          299.625	             598.877	             296.885	             593.213	             299.559	             598.765	              598.77	             6.15199	             -3.1362	                0.35
886	        389.317	         0.000787743	       30.48	          299.732	             599.075	             296.949	             593.344	             299.669	             598.965	             598.985	             5.98349	            -3.32636	                0.41
887	        389.504	           0.0227015	        1.18	          299.674	             598.951	             297.013	             593.476	             299.602	             598.825	             598.869	             5.81454	            -3.41836	                0.28
888	        389.642	          0.00317209	        7.27	          300.827	              601.74	             297.077	             593.609	             300.803	             601.714	             601.182	             8.66388	            -1.36908	                0.31
889	        389.801	          0.00208138	       11.19	          300.733	             601.544	              297.14	             593.737	             300.705	             601.513	             600.995	             8.49656	            -1.38903	                0.32
890	        389.979	         0.000774144	       31.43	          300.665	             601.377	             297.204	             593.868	             300.633	             601.342	              600.86	             8.32812	            -1.45401	                0.36
891	        390.132	           0.0275482	        0.97	          300.599	             601.215	             297.266	             593.997	             300.562	             601.173	             600.728	             8.16047	            -1.52307	                 0.3
892	        390.329	          0.00253968	        9.09	          302.224	             604.697	              297.33	             594.126	             302.216	              604.69	             603.983	             9.97248	            -1.07838	                0.29
893	          390.5	           0.0013796	       16.18	          302.197	             604.569	             297.394	             594.257	             302.189	             604.561	              603.93	             9.80375	            -1.20886	                0.35
894	        390.684	          0.00203521	       11.55	          302.104	             604.373	              297.46	             594.392	             302.094	             604.363	             603.745	             9.63282	            -1.22977	                0.35
895	        390.932	            0.001295	       17.55	          302.048	             604.218	             297.529	             594.534	             302.037	             604.206	             603.636	             9.45872	            -1.31558	                0.36
896	        391.142	          0.00130557	       17.14	          301.953	              604.02	             297.601	             594.682	              301.94	             604.006	             603.447	              9.2815	            -1.33283	                0.34
897	        391.286	          0.00111607	       20.86	          301.948	             603.934	             297.673	             594.827	             301.934	             603.918	             603.439	             9.10548	            -1.49845	                0.36
898	        391.491	          0.00108879	       22.31	          301.992	             603.927	             297.744	             594.973	             301.977	             603.909	             603.526	              8.9295	            -1.73408	                0.44
899	        391.705	          0.00172043	       12.66	          301.908	             603.747	             297.817	             595.122	             301.891	             603.725	              603.36	             8.75136	            -1.77349	                0.31
900	        391.903	          0.00102828	       21.55	           301.91	             603.697	             297.894	             595.278	             301.892	             603.672	             603.366	             8.56998	            -1.94256	                0.34
901	        392.052	          0.00191608	       11.43	           301.83	             603.523	             297.969	             595.431	             301.809	             603.494	             603.206	             8.39015	             -1.9888	                0.36
902	        392.213	          0.00173235	       12.92	          301.778	             603.393	             298.042	              595.58	             301.754	             603.358	             603.103	             8.21231	            -2.08688	                0.37
903	        392.432	           0.0010353	        21.4	           301.92	             603.616	             298.114	             595.727	             301.897	             603.582	             603.389	             8.03511	            -2.34565	                0.39
904	        392.646	         0.000513255	       56.15	          303.014	             606.098	             298.191	             595.883	             303.006	             606.089	              605.58	             9.68841	            -1.44211	                0.69
905	        392.808	           0.0305344	        0.92	          302.942	             605.929	             298.268	              596.04	             302.932	             605.918	             605.437	             9.50661	            -1.50021	                 0.3
906	        393.011	           0.0025355	        8.75	          303.646	             607.294	             298.345	             596.196	             303.641	             607.288	             606.848	             9.96691	            -1.60901	                0.31
907	        393.372	          0.00312842	        6.89	          303.578	             607.133	             298.431	              596.37	             303.572	             607.126	             606.712	             9.77654	            -1.67443	                 0.3
908	        393.568	          0.00140115	       19.04	          303.492	             606.948	             298.522	             596.557	             303.485	              606.94	             606.541	             9.58002	            -1.70877	                0.52
